"Key","Issue Type","Parent","Summary","Status","Assignee","Sprint","Start date","Inferred start date","Due date","Inferred due date","Issue color"
"D4N-206","Story","D4N-175","Sensor Constraints","To Do","Daniel Grijalva","Initial Sensor Testing","","2025/11/02","","2025/11/30","purple"
"D4N-183","Epic","","Machine Learning","To Do","","","2025/11/01","2025/11/01","2026/02/15","2026/02/15","purple"
"D4N-194","Story","D4N-183","Soil Nutrient Analysis","To Do","Daniel Grijalva","","","","","","purple"
"D4N-207","Story","D4N-183","Train Machine Learning Model","To Do","Daniel Grijalva","","","","","","purple"
"D4N-176","Epic","","Cloud & Database Infrastructure","To Do","","","2025/11/01","2025/11/01","2026/02/14","2026/02/14","purple"
"D4N-185","Story","D4N-176","Light Sensor Schema","To Do","Daniel Grijalva","Database Preparation & Testing","","2025/11/02","","2025/11/30","purple"
"D4N-226","Story","D4N-176","Soil Nutrient Schema","To Do","Daniel Grijalva","Database Preparation & Testing","","2025/11/02","","2025/11/30","purple"
"D4N-225","Story","D4N-176","Soil Moisture Schema","To Do","Daniel Grijalva","Database Preparation & Testing","","2025/11/02","","2025/11/30","purple"
"D4N-208","Story","D4N-176","Store Sensor Readings","To Do","Daniel Grijalva","Database Preparation & Testing","","2025/11/02","","2025/11/30","purple"
"D4N-209","Story","D4N-176","Store Control Logic Actions","To Do","Daniel Grijalva","Database Preparation & Testing","","2025/11/02","","2025/11/30","purple"
"D4N-210","Story","D4N-176","API Endpoints","To Do","Daniel Grijalva","","","","","","purple"
"D4N-211","Story","D4N-176","Data Validation","To Do","Daniel Grijalva","Database Preparation & Testing","","2025/11/02","","2025/11/30","purple"
"D4N-212","Story","D4N-176","Store ML Predictions","To Do","Daniel Grijalva","","","","","","purple"
"D4N-178","Epic","","Web/Mobile App Development","To Do","","","2025/11/10","2025/11/10","2026/02/16","2026/02/16","purple"
"D4N-218","Story","D4N-178","Main Dashboard","To Do","Daniel Grijalva","","","","","","purple"
"D4N-219","Story","D4N-178","Environment Alerts","To Do","Daniel Grijalva","","","","","","purple"
"D4N-221","Story","D4N-178","Color UI Alerts","To Do","Daniel Grijalva","","","","","","purple"
"D4N-222","Story","D4N-178","Visual Growth Charts","To Do","Daniel Grijalva","","","","","","purple"
"D4N-223","Story","D4N-178","Notification Preferences","To Do","Daniel Grijalva","","","","","","purple"
"D4N-224","Story","D4N-178","Menu Navigation","To Do","Daniel Grijalva","","","","","","purple"
"D4N-179","Epic","","Testing & QA","To Do","","","2026/02/16","2026/02/16","2026/03/30","2026/03/30","purple"
"D4N-180","Epic","","Deployment & Showcase","To Do","","","2026/03/09","2026/03/09","2026/04/06","2026/04/06","purple"
